順位,ネーム,info,登録者数,登録者変化数
1,泠鸢yousa,282994,虚拟艺人团体VirtuaReal Star成员，每周六20:30 b站直播。商洽联络人：zhangyue06@bilibili.com,"2,591,592"
2,神楽七奈Official,386900246,神楽七奈(カグラナナ)/ななかぐら官方、感谢粉丝和字幕组，粉丝群:302187053 商务:info@cherrynova.net,"1,581,451"
3,鹿乃ちゃん,316381099,你好，我是鹿乃！ weibo @kano_dayo  商户合作：kano@incs-toenter.jp,"1,368,256"
4,AIChannel官方,1473830,嗨多磨！这里是想要和更多人建立羁绊的KizunaAI～微博@Kizuna_AI绊爱～合作请联系kizunaai_bd@163.com,"1,186,557"
5,白上吹雪Official,332704117,hololive一期生，虚拟白发狐狸白上吹雪是也(^・ω・^§)ﾉ 画师：凪白みと 协力：白上吹雪字幕组 商务合作请私信,"1,161,087"
6,一块电鹿板,471723540,我是鹿，爱吃肉，是个中二少鹿。非商业合作：ykdlb222@gmail.com 商业：wworking@163.com,"927,960"
7,神楽Mea_Official,349991143,希望明天也会是幸福的1天,"851,108"
8,湊-阿库娅Official,375504219,"holoIive二期生、虚拟女仆、湊(みなと)あくあ！
❖担当画师：がおう
协力：湊阿库娅字幕组。
商务合作与问题反馈请私信。","839,004"
9,小狼XF,298484,微博：http://weibo.com/myglz,"742,458"
10,夏色祭Official,336731767,holoIive一期生，虚拟女子高中生！喜欢祭典之类的有趣的活动！❖担当画师：皆村春樹 协力：夏色祭字幕组。,"715,491"
11,新科娘Official,451066708,嗨～我是心萪！大家都叫我新科娘 直播间：21602686 商务合作请联系：xinke_business@sina.com,"714,947"
12,本气黑猫,38829,明日方舟、主机游戏UP主。每晚8点直播。明日方舟6群：812554733 公主连结1群 557694473,"679,225"
13,进击的冰糖,198297,"既是UP主也是Vup，目标是成为你的快乐源泉~！(•̀ㅂ•)
做的视频类型：MMD、配音、翻唱、游戏解说、新番漫评、VTuber","635,976"
14,新月冰冰,3295,今年到100w粉倒立洗头！虚拟人设是14岁的小DD，性格有点害羞，自闭…哈哈！Q群：163630157 微博@新月冰冰,"598,890"
15,赤井心Official,339567211,holoIive一期生，虚拟女子留学生，赤井心哒呦～(๑•̀ㅂ•́)و✧❖担当画师：はる雪协力：字幕组。商务合作与问题反馈请私信。,"592,799"
16,七濑胡桃menherachan,326968804,想要守护你的menhera酱七濑胡桃( =•ω•= )微博：七濑胡桃menherachan ,"554,358"
17,YUKIri,512480,"新浪微博：@YUKIri初号机  Q音：@YUKIri
唱唱歌聊聊天的时间段是周六晚8~9点
网易云专辑请搜索YKRII（专辑名称）","536,414"
18,猫宫日向Official,291296062,这里是虚拟youtuber猫宫日向๑˃́ꇴ˂̀๑  请大家多多指教哦！,"477,155"
