順位,ネーム,アイコン,ルームナンバー,info,登録者数
1,泠鸢yousa,https://i2.hdslb.com/bfs/face/28f95c383f2805dbed32e93007c91ccfda28775f.jpg@256h_256w,282994,虚拟艺人团体VirtuaReal Star成员，每周六20:30 b站直播。商洽联络人：zhangyue06@bilibili.com,"2,591,592"
2,神楽七奈Official,https://i2.hdslb.com/bfs/face/afec96e41bb75e629bfa790d012b378f9e50da4f.jpg@256h_256w,386900246,神楽七奈(カグラナナ)/ななかぐら官方、感谢粉丝和字幕组，粉丝群:302187053 商务:info@cherrynova.net,"1,581,451"
3,鹿乃ちゃん,https://i1.hdslb.com/bfs/face/c3ff570ad8d9dc518fc85f61fed5a14ecd60fd73.jpg@256h_256w,316381099,你好，我是鹿乃！ weibo @kano_dayo 商户合作：kano@incs-toenter.jp,"1,368,256"
4,AIChannel官方,https://i2.hdslb.com/bfs/face/37b13e471ca6f9419350e897b5ff6a18ef29b440.jpg@256h_256w,1473830,嗨多磨！这里是想要和更多人建立羁绊的KizunaAI～微博@Kizuna_AI绊爱～合作请联系kizunaai_bd@163.com,"1,186,557"
5,白上吹雪Official,https://i2.hdslb.com/bfs/face/7aff7cd75b5c60cb50a224cf1313a69700be8558.jpg@256h_256w,332704117,hololive一期生，虚拟白发狐狸白上吹雪是也(^・ω・^§)ﾉ 画师：凪白みと 协力：白上吹雪字幕组 商务合作请私信,"1,161,087"
6,一块电鹿板,https://i0.hdslb.com/bfs/face/bf28250fa1190a625a3900737520308d491d34a5.jpg@256h_256w,471723540,我是鹿，爱吃肉，是个中二少鹿。非商业合作：ykdlb222@gmail.com 商业：wworking@163.com,"927,960"
7,神楽Mea_Official,https://i1.hdslb.com/bfs/face/99bb8e6a7411b0bffb969b8c8440486a4a62f961.jpg@256h_256w,349991143,希望明天也会是幸福的1天,"851,108"
8,湊-阿库娅Official,https://i0.hdslb.com/bfs/face/a7195c09c6ba4722966d745d6f692035d3fe4d95.jpg@256h_256w,375504219,"holoIive二期生、虚拟女仆、湊(みなと)あくあ！
                ❖担当画师：がおう
                协力：湊阿库娅字幕组。
                商务合作与问题反馈请私信。","839,004"
9,小狼XF,https://i2.hdslb.com/bfs/face/f2723164936a3b63f3891ca9ae541fb0239dd593.jpg@256h_256w,298484,微博：http://weibo.com/myglz,"742,458"
10,夏色祭Official,https://i1.hdslb.com/bfs/face/7e1f8b141392370fa206252f608d3e0c89d119ab.jpg@256h_256w,336731767,holoIive一期生，虚拟女子高中生！喜欢祭典之类的有趣的活动！❖担当画师：皆村春樹 协力：夏色祭字幕组。,"715,491"
11,新科娘Official,https://i1.hdslb.com/bfs/face/ee91a0086a91982563d593cef6de474dfa8b3841.jpg@256h_256w,451066708,嗨～我是心萪！大家都叫我新科娘 直播间：21602686 商务合作请联系：xinke_business@sina.com,"714,947"
12,本气黑猫,https://i0.hdslb.com/bfs/face/6c457d5cc5fd42349105c6c9aa74e09328591500.jpg@256h_256w,38829,明日方舟、主机游戏UP主。每晚8点直播。明日方舟6群：812554733 公主连结1群 557694473,"679,225"
13,进击的冰糖,https://i2.hdslb.com/bfs/face/1b748478876acebe106d332ea917184a115eecbe.jpg@256h_256w,198297,"既是UP主也是Vup，目标是成为你的快乐源泉~！(•̀ㅂ•)
                做的视频类型：MMD、配音、翻唱、游戏解说、新番漫评、VTuber","635,976"
