順位,ネーム,チャンネルネーム,所属グループ,登録者数,再生回数
1,キズナアイ,A.I.Channel,,"2,810,000","327,465,960"
2,キズナアイ(ゲーム),A.I.Games,,"1,510,000","162,777,081"
3,輝夜月(かぐやるな),Kaguya Luna Official,VIC,"996,000","105,318,272"
4,白上フブキ,フブキCh。白上フブキ,ホロライブ,"834,000","72,900,643"
5,ミライアカリ,Mirai Akari Project,元ENTUM,"717,000","68,428,538"
6,電脳少女シロ,Siro Channel,.LIVE,"702,000","112,048,317"
7,戌神ころね,Korone Ch. 戌神ころね,ホロライブ,"702,000","36,588,217"
8,湊あくあ,Aqua Ch. 湊あくあ,ホロライブ,"656,000","23,382,741"
9,兎田ぺこら,Pekora Ch. 兎田ぺこら,ホロライブ,"637,000","31,053,430"
10,田中ヒメ 鈴木ヒナ,HIMEHINA Channel,,"604,000","117,023,943"
11,月ノ美兎,月ノ美兎,にじさんじ(1・2期生),"595,000","100,593,784"
12,桐生ココ,Coco Ch. 桐生ココ,ホロライブ,"580,000","37,989,464"
13,ホロライブ公式,hololive ホロライブ - VTuber Group,ホロライブ,"579,000","79,402,110"
14,宝鐘マリン(ほうしょうまりん),Marine Ch. 宝鐘マリン,ホロライブ,"574,000","28,235,300"
15,猫宮ひなた,ひなたチャンネル (Hinata Channel),元ENTUM,"548,000","46,651,869"
16,夏色まつり,Matsuri Channel 夏色まつり,ホロライブ,"532,000","9,712,253"
17,赤井はあと,Haato Channel 赤井はあと,ホロライブ,"525,000","31,266,694"
18,本間ひまわり,本間ひまわり - Himawari Honma -,にじさんじ(ゲーマーズ出身),"504,000","99,237,145"
19,潤羽るしあ,Rushia Ch. 潤羽るしあ,ホロライブ,"490,000","8,484,391"
20,白銀ノエル(しろがねのえる),Noel Ch. 白銀ノエル,ホロライブ,"489,000","19,716,540"
21,猫又おかゆ,Okayu Ch. 猫又おかゆ,ホロライブ,"480,000","11,952,663"
22,ヨメミ,ヨメミ -萌実- エトラ チャンネル,エイレーン一家,"458,000","59,828,151"
23,星街すいせい,Suisei Channel,ホロライブ,"455,000","21,004,384"
24,さくらみこ,Miko Ch. さくらみこ,ホロライブ,"454,000","7,240,096"
25,御伽原江良(おとぎばらえら),御伽原 江良 / Otogibara Era【にじさんじ】,にじさんじ(統合後),"450,000","47,023,192"
26,ときのそら,SoraCh. ときのそらチャンネル,ホロライブ,"438,000","19,219,063"
27,笹木咲,笹木咲 / Sasaki Saku,にじさんじ(ゲーマーズ出身),"429,000","55,767,639"
28,角巻わため(つのまきわため),Watame Ch. 角巻わため,ホロライブ,"423,000","20,882,099"
29,にじさんじ公式,にじさんじ,にじさんじ(1・2期生),"414,000","106,620,285"
30,犬山たまき,佃煮のりおちゃんねる【犬山たまき】,のりプロ,"414,000","59,077,888"
31,鈴原るる,鈴原るる【にじさんじ所属】,にじさんじ(統合後),"409,000","49,454,912"
32,葛葉,Kuzuha Channel,にじさんじ(ゲーマーズ出身),"400,000","98,841,610"
33,天音かなた(あまねかなた),Kanata Ch. 天音かなた,ホロライブ,"398,000","23,037,299"
34,夏実萌恵,Natsumi Moe - Virtual YouTuber,エイレーン一家,"392,000","35,788,854"
35,大空スバル,Subaru Ch. 大空スバル,ホロライブ,"390,000","9,712,735"
36,百鬼あやめ,Nakiri Ayame Ch. 百鬼あやめ,ホロライブ,"388,000","7,608,073"
37,花譜(かふ),花譜,神椿,"371,000","65,053,524"
38,紫咲シオン,Shion Ch. 紫咲シオン,ホロライブ,"370,000","21,311,714"
39,リゼ・ヘルエスタ,リゼ・ヘルエスタ -Lize Helesta-,にじさんじ(統合後),"369,000","48,589,821"
40,YuNi,YuNi - virtual singer -,,"354,000","78,029,566"
41,叶(かなえ),Kanae Channel,にじさんじ(ゲーマーズ出身),"353,000","102,214,030"
42,大神ミオ,Mio Channel 大神ミオ,ホロライブ,"353,000","6,683,909"
43,アンジュ・カトリーナ,アンジュ・カトリーナ - Ange Katrina -,にじさんじ(統合後),"351,000","36,592,088"
44,道明寺ここあ,ここあMusic,,"348,000","84,642,590"
45,椎名唯華,,にじさんじ(ゲーマーズ出身),"341,000","58,489,635"
46,鈴鹿詩子,鈴鹿詩子 Utako Suzuka,にじさんじ(1・2期生),"335,000","56,476,847"
47,樋口楓,樋口楓【にじさんじ所属】,にじさんじ(1・2期生),"335,000","40,479,842"
48,ロボ子さん,Roboco Ch. - ロボ子,ホロライブ,"331,000","9,636,852"
49,緑仙(リューシェン),緑仙channel,にじさんじ(SEEDs出身),"330,000","80,427,079"
50,癒月ちょこ,Choco Ch. 癒月ちょこ,ホロライブ,"326,000","2,951,328"
51,夢月ロア(ゆづきろあ),夢月ロア🌖Yuzuki Roa,にじさんじ(統合後),"322,000","29,671,791"
52,アルス・アルマル,アルス・アルマル -ars almal- 【にじさんじ】,にじさんじ(統合後),"321,000","38,152,738"
53,Nimu,,,"319,000","18,421,447"
54,ゲーム部プロジェクト,ゲーム部プロジェクト,Brave group,"312,000","167,113,521"
55,社築(やしろ きずく),社築,にじさんじ(SEEDs出身),"311,000","42,307,238"
56,Melody,Projekt Melody,,"311,000","5,739,873"
57,戌亥とこ(いぬいとこ),戌亥とこ-Inui Toko-【にじさんじ】,にじさんじ(統合後),"310,000","27,601,136"
58,周防パトラ,Patra Channel / 周防パトラ 【ハニスト】,ハニーストラップ,"307,000","65,500,895"
59,勇気ちひろ,勇気ちひろ,にじさんじ(1・2期生),"296,000","41,050,380"
60,静凛,Shizuka Rin Official,にじさんじ(1・2期生),"295,000","41,920,460"
61,ガッチマンV,,,"289,000","13,305,011"
62,しぐれうい,,,"286,000","9,901,618"
63,富士葵(ふじあおい),Aoi ch.,,"281,000","66,733,059"
64,天神子兎音(てんじんことね),天神 子兎音 Tenjin Kotone,,"276,000","54,252,796"
65,竜胆尊(りんどうみこと),竜胆 尊 / Rindou Mikoto,にじさんじ(SEEDs出身),"276,000","19,319,452"
66,星川サラ,星川サラ / Sara Hoshikawa,にじさんじ(統合後),"275,000","21,238,207"
67,シフィ(シフィ―ル・エシラー),シフィ - Sifir Esirer -,エイレーン一家,"273,000","60,104,447"
68,姫森ルーナ,Luna Ch. 姫森ルーナ,ホロライブ,"273,000","7,564,447"
69,不知火フレア,Flare Ch. 不知火フレア,ホロライブ,"273,000","7,374,372"
